#BarNum Z0 XOffset ZOffset
0  99.45  -1.7
1  100.15 -1.8
2  100.75 -2.1
3  100.65 -2.2
4  101.45 -2.4
5  101.75 -1.9
6  102.25 -2.4
7  102.35 -2.5
